Resultados PyTorch v2 (BaselineCNN + data augmentation) sobre imagenes_a_probar/.
Modelo: PyTorch/v2/modelopt_v2_augmentation.pt

archivo                                          predicción        conf     [p0 / p1 / p2]
-----------------------------------------------------------------------------------------------
Captura de pantalla_2026-07-02_14-30-27.png   -> 1_rastro_ia     (56.7%)   [0.32 / 0.57 / 0.11]
Captura de pantalla_2026-07-02_14-32-21.png   -> 2_saturada_ia   (70.0%)   [0.07 / 0.23 / 0.70]
Captura de pantalla_2026-07-02_14-33-01.png   -> 2_saturada_ia   (100.0%)   [0.00 / 0.00 / 1.00]
Screenshot From 2026-07-02 14-41-44.png       -> 0_sin_ia        (48.3%)   [0.48 / 0.42 / 0.10]
Screenshot From 2026-07-02 14-41-56.png       -> 1_rastro_ia     (45.5%)   [0.38 / 0.46 / 0.17]
Screenshot From 2026-07-02 14-42-04.png       -> 1_rastro_ia     (46.4%)   [0.44 / 0.46 / 0.09]
Screenshot From 2026-07-02 14-42-11.png       -> 0_sin_ia        (59.3%)   [0.59 / 0.33 / 0.07]
Screenshot From 2026-07-02 14-54-30.png       -> 1_rastro_ia     (78.7%)   [0.16 / 0.79 / 0.06]
Screenshot From 2026-07-02 14-56-01.png       -> 1_rastro_ia     (72.3%)   [0.22 / 0.72 / 0.06]
Screenshot From 2026-07-02 14-56-43.png       -> 0_sin_ia        (53.2%)   [0.53 / 0.40 / 0.07]
